fusion_id	aliquot_id	known_gene1	known_gene2	gene_id1	gene_id2	chr1	break1	chr2	break2	frameshift	exon	UTR	SV	SV_sv_id	SV2_sv_id	class	SV_match_composite	tx1_coord	tx2_coord	tx_bkpt1	tx_bkpt2	project_code	histology_abbreviation	wgs_aliquot_id	icgc_donor_id
NUDT3->SPDEF	c5091a05-88c2-48e5-9680-17c02d27f796	NUDT3	SPDEF	ENSG00000272325	ENSG00000124664	6	34309639	6	34512261	NA	exon2->exon2	CDS->5UTR	TRUE	SVMERGE119_1	NA	direct	direct	ENST00000607016.1:1-522	ENST00000374037.3:387-1896	ENST00000607016.1^6:34309639:-	ENST00000374037.3^6:34512261:-	OV-AU	Ovary-AdenoCA	bc9b66f5-fcb8-4545-ab2d-438bb810edc0	DO46488
DCAF12->DENND4C	8e0f1747-19c3-4d31-b9ab-6288594c306d	DCAF12	DENND4C	ENSG00000198876	ENSG00000137145	9	34106432	9	19276156	NA	exon4->exon2	CDS->5UTR	TRUE	SVMERGE39_1	NA	direct	direct	ENST00000361264.4:1-943	ENST00000434457.2:400-6719	ENST00000361264.4^9:34106432:-	ENST00000434457.2^9:19276156:+	PACA-AU	Panc-AdenoCA	a2238b5f-0513-487a-9b1b-7bef85ebf336	DO32878
FAM172A->NR2F1-AS1	94a8e647-e53b-4060-81d9-2599c19a05c9	FAM172A	NR2F1-AS1	ENSG00000113391	ENSG00000237187	5	93294482	5	92774447	Other	NA	NA	TRUE	SVMERGE64_1	NA	direct	direct	ENSG00000113391:NA	ENSG00000237187:NA	ENSG00000113391^5:93294482:-	ENSG00000237187^5:92774447:-	PACA-AU	Panc-AdenoCA	e56b0990-ff67-47c1-b9ad-87ef1d4aa2ae	DO33368
EXT1->SAMD12	77968712-a6c4-4db4-83ec-d686a71b13fa	EXT1	SAMD12	ENSG00000182197	ENSG00000177570	8	119122324	8	119209971	out-of-frame	exon1->exon5	CDS->CDS	TRUE	SVMERGE140_1	NA	direct	direct	ENST00000378204.2:1-1769	ENST00000409003.4:593-8867	ENST00000378204.2^8:119122324:-	ENST00000409003.4^8:119209971:-	OV-AU	Ovary-AdenoCA	acd510de-b732-4a1a-8b72-6d22e763540b	DO46400
DSTYK->NUAK2	77968712-a6c4-4db4-83ec-d686a71b13fa	DSTYK	NUAK2	ENSG00000133059	ENSG00000163545	1	205138291	1	205280953	out-of-frame	exon3->exon2	CDS->CDS	TRUE	SVMERGE257_1	NA	direct	direct	ENST00000367162.3:1-1355	ENST00000367157.3:359-3406	ENST00000367162.3^1:205138291:-	ENST00000367157.3^1:205280953:-	OV-AU	Ovary-AdenoCA	acd510de-b732-4a1a-8b72-6d22e763540b	DO46400
PSEN1->RBM25	d3cc0e8f-4fc4-4937-8e40-78bd4cbeb50f	PSEN1	RBM25	ENSG00000080815	ENSG00000119707	14	73614814	14	73586421	in-frame	intron3->exon19	CDS->CDS	FALSE	NA	NA	SV independent	NA	ENST00000357710.4:NA	ENST00000261973.7:NA	ENST00000357710.4^14:73614814:+	ENST00000261973.7^14:73586421:+	OV-AU	Ovary-AdenoCA	f858d813-f3c5-4ad9-8c20-9f231d6624d8	DO46503
PCMTD1->PXDNL	7a61be06-1917-46ad-9af1-f7058f5b0b52	PCMTD1	PXDNL	ENSG00000168300	ENSG00000147485	8	52811490	8	52287291	NA	exon1->exon18	5UTR->CDS	TRUE	SVMERGE17_1	NA	direct	direct	ENST00000522514.1:1-107	ENST00000356297.4:3659-4806	ENST00000522514.1^8:52811490:-	ENST00000356297.4^8:52287291:-	PACA-AU	Panc-AdenoCA	ee5d5e7d-78cf-4a29-a9ee-56aa3da877dd	DO32875
SLC26A6->UQCRC1	26514a38-7c8b-4afa-9814-e129c58a9120	SLC26A6	UQCRC1	ENSG00000225697	ENSG00000010256	3	48665897	3	48647463	NA	exon14->exon1	CDS->5UTR	FALSE	NA	NA	SV independent	NA	ENST00000337000.8:1-1549	ENST00000203407.5:8-1986	ENST00000337000.8^3:48665897:-	ENST00000203407.5^3:48647463:-	OV-AU	Ovary-AdenoCA	6c31d730-1734-44ac-92b3-760981528723	DO46356
SLC26A6->UQCRC1	029ee1b9-9193-4e9d-92cc-85797470b498	SLC26A6	UQCRC1	ENSG00000225697	ENSG00000010256	3	48665897	3	48647463	NA	exon16->exon1	CDS->5UTR	FALSE	NA	NA	SV independent	NA	ENST00000395550.2:1-1818	ENST00000203407.5:8-1986	ENST00000395550.2^3:48665897:-	ENST00000203407.5^3:48647463:-	OV-AU	Ovary-AdenoCA	bbb2cf2f-8f32-43d4-846c-d1020e6329ec	DO46338
ICK->TUBB	984904e7-7009-4ed3-9a7a-3008aaeba415	ICK	TUBB	ENSG00000112144	ENSG00000196230	6	52902737	6	30690314	in-frame	exon3->exon2	CDS->CDS	TRUE	SVMERGE27_1	NA	direct	direct	ENST00000350082.5:1-503	ENST00000327892.8:364-2671	ENST00000350082.5^6:52902737:-	ENST00000327892.8^6:30690314:+	PACA-AU	Panc-AdenoCA	90b3c237-29a4-48b3-90b3-9f2c0ccb5928	DO49193
AP000230.1->AP001596.6	430aa27a-00aa-4ea0-a272-1cdfc40eb0c6	AP000230.1	AP001596.6	ENSG00000273492	ENSG00000232692	21	27588148	21	27760043	Other	NA	NA	FALSE	NA	NA	SV independent	NA	ENSG00000273492:NA	ENSG00000232692:NA	ENSG00000273492^21:27588148:+	ENSG00000232692^21:27760043:+	OV-AU	Ovary-AdenoCA	09508a0d-ebe0-4fa1-b7b2-1710814181cd	DO46606
CACUL1->VTI1A	dcf64460-46b0-4911-964f-35192194a0cb	CACUL1	VTI1A	ENSG00000151893	ENSG00000151532	10	120488807	10	114286846	in-frame	exon3->exon4	CDS->CDS	TRUE	SVMERGE52_1	NA	direct	direct	ENST00000369151.3:1-1081	ENST00000393077.2:381-4132	ENST00000369151.3^10:120488807:-	ENST00000393077.2^10:114286846:+	PACA-AU	Panc-AdenoCA	b5dd0bc9-6c1c-4272-b920-744de37d0aee	DO33480
FMNL2->GALNT13	5e5e48f8-8ddc-452a-85c4-15119480415a	FMNL2	GALNT13	ENSG00000157827	ENSG00000144278	2	153192234	2	155252503	out-of-frame	exon1->exon10	CDS->CDS	TRUE	SVMERGE20_1	NA	direct	direct	ENST00000288670.9:1-484	ENST00000392825.3:1724-5537	ENST00000288670.9^2:153192234:+	ENST00000392825.3^2:155252503:+	PACA-AU	Panc-AdenoCA	12f038e1-00af-4c64-a2e0-9e63323492ef	DO33512
CCSER1->MMRN1	26a7b379-378d-4b8a-bd98-4c8ec6cc0532	CCSER1	MMRN1	ENSG00000184305	ENSG00000138722	4	91048982	4	90815875	NA	exon1->exon2	5UTR->5UTR	TRUE	SVMERGE300_1	NA	direct	direct	ENST00000509176.1:1-247	ENST00000394980.1:72-5218	ENST00000509176.1^4:91048982:+	ENST00000394980.1^4:90815875:+	OV-AU	Ovary-AdenoCA	e45f3391-2e74-4767-817a-280cebac7c57	DO46328
CS->COQ10A	953ffa20-1de2-45f2-b5ba-7b0f672ee7fb	CS	COQ10A	ENSG00000062485	ENSG00000135469	12	56693944	12	56660660	NA	exon1->exon1	CDS->5UTR	TRUE	SVMERGE518_1	NA	direct	direct	ENST00000351328.3:1-233	ENST00000308197.5:19-1653	ENST00000351328.3^12:56693944:-	ENST00000308197.5^12:56660660:+	PACA-AU	Panc-AdenoCA	3e4d0e50-8cf4-4eb0-a00a-ccf0484ecc2f	DO33984
PTBP1->RNF126	a4d107e6-4e56-49e9-8ec8-0903e6f00418	PTBP1	RNF126	ENSG00000011304	ENSG00000070423	19	799443	19	650296	out-of-frame	exon2->exon5	CDS->CDS	FALSE	NA	NA	SV independent	NA	ENST00000349038.4:1-112	ENST00000292363.5:600-1695	ENST00000349038.4^19:799443:+	ENST00000292363.5^19:650296:-	OV-AU	Ovary-AdenoCA	9e6806c4-d331-4025-abee-2f576e3bf182	DO46556
CTBP1->MAEA	a4d107e6-4e56-49e9-8ec8-0903e6f00418	CTBP1	MAEA	ENSG00000159692	ENSG00000090316	4	1205669	4	1315659	NA	exon10->intron3	3UTR->CDS	FALSE	NA	NA	SV independent	NA	ENST00000382952.3:NA	ENST00000505177.2:NA	ENST00000382952.3^4:1205669:-	ENST00000505177.2^4:1315659:+	OV-AU	Ovary-AdenoCA	9e6806c4-d331-4025-abee-2f576e3bf182	DO46556
ACVR1B->GRASP	a4d107e6-4e56-49e9-8ec8-0903e6f00418	ACVR1B	GRASP	ENSG00000135503	ENSG00000161835	12	52385777	12	52402974	in-frame	exon8->exon2	CDS->CDS	FALSE	NA	NA	SV independent	NA	ENST00000257963.4:1-1469	ENST00000293662.4:327-1934	ENST00000257963.4^12:52385777:+	ENST00000293662.4^12:52402974:+	OV-AU	Ovary-AdenoCA	9e6806c4-d331-4025-abee-2f576e3bf182	DO46556
PINK1-AS->LYZ	45374ae4-974c-4637-a6dd-0b8041330024	PINK1-AS	LYZ	ENSG00000117242	ENSG00000090382	1	20974232	12	69747684	Other	NA	NA	FALSE	NA	NA	SV independent	NA	ENSG00000117242:NA	ENSG00000090382:NA	ENSG00000117242^1:20974232:-	ENSG00000090382^12:69747684:+	STAD-US	Stomach-AdenoCA	429aad6f-816d-4739-baa3-b0ebf2fcd501	DO48040
BAZ1B->MLXIPL	95698d6f-5687-4261-a6f4-30a349f74baf	BAZ1B	MLXIPL	ENSG00000009954	ENSG00000009950	7	72903524	7	73030507	out-of-frame	exon6->exon2	CDS->CDS	FALSE	NA	NA	SV independent	NA	ENST00000339594.4:1-1230	ENST00000313375.3:342-3279	ENST00000339594.4^7:72903524:-	ENST00000313375.3^7:73030507:-	STAD-US	Stomach-AdenoCA	d8d5585d-32cd-4ac4-b410-a4122a17a558	DO38779
UPF1->AC096579.7	87793870-b51e-433f-9f32-eda032d71f04	UPF1	AC096579.7	ENSG00000005007	ENSG00000231486	19	18949230	2	89157020	Other	NA	NA	FALSE	NA	NA	SV independent	NA	ENSG00000005007:NA	ENSG00000231486:NA	ENSG00000005007^19:18949230:+	ENSG00000231486^2:89157020:-	STAD-US	Stomach-AdenoCA	d6738c83-7b52-4224-846a-67bd085aaab8	DO47817
UBAC1->SHANK2	12273db4-5bb3-4529-aaad-cc4b486c85c5	UBAC1	SHANK2	ENSG00000130560	ENSG00000162105	9	138852871	11	70935842	NA	exon1->exon3	CDS->5UTR	TRUE	SVMERGE251_1	SVMERGE262_1	composite	DUP:TRA	ENST00000371756.3:1-356	ENST00000413503.1:259-1283	ENST00000371756.3^9:138852871:-	ENST00000413503.1^11:70935842:-	SKCM-US	Skin-Melanoma	3f98d326-5676-4257-9af8-0a5f5d3c2527	DO51251
PXDNL->USP8	12273db4-5bb3-4529-aaad-cc4b486c85c5	PXDNL	USP8	ENSG00000147485	ENSG00000138592	8	52252184	15	50769473	out-of-frame	exon21->exon10	CDS->CDS	TRUE	SVMERGE244_1	SVMERGE268_1	composite	TRA:h2hINV	ENST00000356297.4:1-4247	ENST00000307179.4:1193-4244	ENST00000356297.4^8:52252184:-	ENST00000307179.4^15:50769473:+	SKCM-US	Skin-Melanoma	3f98d326-5676-4257-9af8-0a5f5d3c2527	DO51251
DGUOK->ACTG2	f4cfc17b-c464-48f2-83ee-359a35c7bc43	DGUOK	ACTG2	ENSG00000114956	ENSG00000163017	2	74154179	2	74135800	out-of-frame	exon1->exon4	CDS->CDS	FALSE	NA	NA	SV independent	NA	ENST00000264093.4:1-227	ENST00000345517.3:365-1531	ENST00000264093.4^2:74154179:+	ENST00000345517.3^2:74135800:+	SARC-US	Bone-Leiomyo	16d33e09-2e21-4da2-8e57-e78ce28c4408	DO220138
SERPINA1->GAPDH	ddb26106-900b-4080-a28b-59927df9d525	SERPINA1	GAPDH	ENSG00000197249	ENSG00000111640	14	94849370	12	6647355	NA	exon2->exon8	CDS->3UTR	FALSE	NA	NA	SV independent	NA	ENST00000393087.4:1-470	ENST00000396859.1:1106-1257	ENST00000393087.4^14:94849370:-	ENST00000396859.1^12:6647355:+	RECA-EU	Kidney-RCC	603594e3-e427-494c-b9ee-e872d6629563	DO47016
AC015977.6->CIB4	ddb26106-900b-4080-a28b-59927df9d525	AC015977.6	CIB4	ENSG00000225378	ENSG00000157884	2	26896332	2	26863435	Other	NA	NA	FALSE	NA	NA	SV independent	NA	ENSG00000225378:NA	ENSG00000157884:NA	ENSG00000225378^2:26896332:-	ENSG00000157884^2:26863435:-	RECA-EU	Kidney-RCC	603594e3-e427-494c-b9ee-e872d6629563	DO47016
AC015977.6->CIB4	4a68e62e-ae0a-4eeb-a87a-8c67db008b6b	AC015977.6	CIB4	ENSG00000225378	ENSG00000157884	2	26896332	2	26852374	Other	NA	NA	FALSE	NA	NA	SV independent	NA	ENSG00000225378:NA	ENSG00000157884:NA	ENSG00000225378^2:26896332:-	ENSG00000157884^2:26852374:-	RECA-EU	Kidney-RCC	a89a2341-263d-4e7f-87fa-18d9692d6b2b	DO46988
AC015977.6->CIB4	388d1827-6c75-4f70-801e-ee49b73357a3	AC015977.6	CIB4	ENSG00000225378	ENSG00000157884	2	26896332	2	26852374	Other	NA	NA	FALSE	NA	NA	SV independent	NA	ENSG00000225378:NA	ENSG00000157884:NA	ENSG00000225378^2:26896332:-	ENSG00000157884^2:26852374:-	RECA-EU	Kidney-RCC	a0eb2611-1ca6-44b7-897e-ce18399eb7bc	DO46957
AC015977.6->CIB4	5912ace9-a168-4d44-878c-f2b8b3060f42	AC015977.6	CIB4	ENSG00000225378	ENSG00000157884	2	26896332	2	26863435	Other	NA	NA	FALSE	NA	NA	SV independent	NA	ENSG00000225378:NA	ENSG00000157884:NA	ENSG00000225378^2:26896332:-	ENSG00000157884^2:26863435:-	RECA-EU	Kidney-RCC	85422a8e-2599-4dab-a257-150e380ecba8	DO47076
AC015977.6->CIB4	f4cc72cf-6f47-4ebc-a9ab-9ba15b6fa411	AC015977.6	CIB4	ENSG00000225378	ENSG00000157884	2	26896332	2	26852374	Other	NA	NA	FALSE	NA	NA	SV independent	NA	ENSG00000225378:NA	ENSG00000157884:NA	ENSG00000225378^2:26896332:-	ENSG00000157884^2:26852374:-	RECA-EU	Kidney-RCC	6bd4bca3-e568-4d1b-8b42-401fdf13d751	DO46844
FBXL18->ACTB	bf3c3e52-0191-4714-a7fc-3c9ca9ff3332	FBXL18	ACTB	ENSG00000155034	ENSG00000075624	7	5536666	7	5567270	NA	intron3->exon6	CDS->3UTR	TRUE	SVMERGE7_1	NA	direct	direct	ENST00000382368.3:NA	ENST00000331789.5:NA	ENST00000382368.3^7:5536666:-	ENST00000331789.5^7:5567270:-	MALY-DE	Lymph-BNHL	0e7f46ca-6f5c-4538-b6d6-00af65d57fcf	DO52674
BCL2->IGHG1	dab72f53-3833-475e-a365-9016edc3eb1c	BCL2	IGHG1	ENSG00000171791	ENSG00000211896	18	60847806	14	106209206	out-of-frame	intron2->exon1	CDS->CDS	TRUE	SVMERGE1_1	SVMERGE2_1	composite	DEL:TRA	ENST00000333681.4:NA	ENST00000390548.2:NA	ENST00000333681.4^18:60847806:-	ENST00000390548.2^14:106209206:-	MALY-DE	Lymph-BNHL	f60007b3-0603-4ad1-8b47-d2d4c4c621e4	DO27785
BCL2->IGHG1	0193b5b0-83d2-4237-83f6-76e3eac240d1	BCL2	IGHG1	ENSG00000171791	ENSG00000211896	18	60843599	14	106209408	in-frame	intron2->exon1	CDS->CDS	FALSE	NA	NA	SV independent	NA	ENST00000333681.4:NA	ENST00000390548.2:NA	ENST00000333681.4^18:60843599:-	ENST00000390548.2^14:106209408:-	MALY-DE	Lymph-BNHL	2c3ada8b-9650-4859-9857-43209c0f7cea	DO27857
PLXNB2->SCO2	2ebb4667-7945-4a92-b620-027b1e8578e4	PLXNB2	SCO2	ENSG00000196576	ENSG00000130489	22	50739776	22	50962853	NA	intron1->exon2	5UTR->5UTR	FALSE	NA	NA	SV independent	NA	ENST00000359337.4:NA	ENST00000395693.3:NA	ENST00000359337.4^22:50739776:-	ENST00000395693.3^22:50962853:-	MALY-DE	Lymph-BNHL	15dd024e-c0da-461a-84db-d01e60a22210	DO52691
PIM3->SCO2	2ebb4667-7945-4a92-b620-027b1e8578e4	PIM3	SCO2	ENSG00000198355	ENSG00000130489	22	50355459	22	50962853	NA	exon4->exon2	CDS->5UTR	FALSE	NA	NA	SV independent	NA	ENST00000360612.4:1-1051	ENST00000395693.3:136-993	ENST00000360612.4^22:50355459:+	ENST00000395693.3^22:50962853:-	MALY-DE	Lymph-BNHL	15dd024e-c0da-461a-84db-d01e60a22210	DO52691
OAZ1->RNF126	5ff2576f-3b08-48f0-8c65-b5f28bc98c89	OAZ1	RNF126	ENSG00000104904	ENSG00000070423	19	2269743	19	652884	out-of-frame	exon1->exon2	CDS->CDS	FALSE	NA	NA	SV independent	NA	ENST00000602676.2:1-225	ENST00000292363.5:232-1695	ENST00000602676.2^19:2269743:+	ENST00000292363.5^19:652884:-	MALY-DE	Lymph-BNHL	79e81ab3-5466-4324-9387-2de00d62315c	DO52696
BCL2->IGHG1	8803be70-8cf8-463b-a639-1b73b19ea396	BCL2	IGHG1	ENSG00000171791	ENSG00000211896	18	60812505	14	106209198	in-frame	intron2->exon1	CDS->CDS	TRUE	SVMERGE8_1	SVMERGE2_1	composite	DEL:TRA	ENST00000333681.4:NA	ENST00000390548.2:NA	ENST00000333681.4^18:60812505:-	ENST00000390548.2^14:106209198:-	MALY-DE	Lymph-BNHL	3e94aa64-7dd3-4d63-a5de-b4050d3dfafa	DO27859
BCL2->IGHG1	db25f81c-7bb8-4b74-b305-5e7b432197cb	BCL2	IGHG1	ENSG00000171791	ENSG00000211896	18	60794689	14	106209407	NA	exon3->exon1	3UTR->CDS	TRUE	SVMERGE6_1	SVMERGE4_1	composite	DEL:TRA	ENST00000333681.4:1-2788	ENST00000390548.2:2-2620	ENST00000333681.4^18:60794689:-	ENST00000390548.2^14:106209407:-	MALY-DE	Lymph-BNHL	f2c08ac1-4755-4c36-a11d-338d8df9fa0d	DO52656
CXCR4->AC013394.2	11436915-2621-4cb8-a5b8-80f221046be9	CXCR4	AC013394.2	ENSG00000121966	ENSG00000272888	2	136875616	15	93428745	Other	NA	NA	FALSE	NA	NA	SV independent	NA	ENSG00000121966:NA	ENSG00000272888:NA	ENSG00000121966^2:136875616:-	ENSG00000272888^15:93428745:+	MALY-DE	Lymph-BNHL	b330c50b-c45f-413d-918f-33275d0d8f91	DO27823
BCL2->IGHG1	a9adeaab-6a0e-407f-8cb9-f401786235f6	BCL2	IGHG1	ENSG00000171791	ENSG00000211896	18	60794689	14	106209407	NA	exon2->exon1	3UTR->CDS	TRUE	SVMERGE151_1	SVMERGE135_1	composite	DUP:TRA	ENST00000398117.1:1-3351	ENST00000390548.2:2-2620	ENST00000398117.1^18:60794689:-	ENST00000390548.2^14:106209407:-	MALY-DE	Lymph-BNHL	ebe0ed67-2d3f-45cd-8f9b-4912595b16a0	DO52689
IGFBP2->HP	8fbb0402-ddb8-11e4-ad8f-5ed8e2d07381	IGFBP2	HP	ENSG00000115457	ENSG00000257017	2	217525362	16	72090435	out-of-frame	exon2->exon3	CDS->CDS	FALSE	NA	NA	SV independent	NA	ENST00000456764.1:1-212	ENST00000355906.5:153-1444	ENST00000456764.1^2:217525362:+	ENST00000355906.5^16:72090435:+	LIRI-JP	Liver-HCC	bba106ce-c622-11e3-bf01-24c6515278c0	DO45229
WNT10B->CYP21A2	8fbaeb7a-ddb8-11e4-ad8f-5ed8e2d07381	WNT10B	CPS1	ENSG00000169884	ENSG00000021826	12	49364491	2	211395272	NA	intron1->intron1	5UTR->CDS	TRUE	SVMERGE285_1	NA	direct	direct	ENST00000301061.4:NA	ENST00000430249.2:NA	ENST00000301061.4^12:49364491:-	ENST00000430249.2^2:211395272:+	LIRI-JP	Liver-HCC	ba940092-c622-11e3-bf01-24c6515278c0	DO45227
AL590714.1->TPI1	8fbaa1ba-ddb8-11e4-ad8f-5ed8e2d07381	AL590714.1	TPI1	ENSG00000268387	ENSG00000111669	1	161192276	12	6979640	NA	exon2->exon7	CDS->3UTR	FALSE	NA	NA	SV independent	NA	ENST00000594609.1:1-211	ENST00000396705.5:879-1232	ENST00000594609.1^1:161192276:+	ENST00000396705.5^12:6979640:+	LIRI-JP	Liver-HCC	b32449c0-c622-11e3-bf01-24c6515278c0	DO45221
AL590714.1->MTCH1	8fb97b1e-ddb8-11e4-ad8f-5ed8e2d07381	AL590714.1	PSAP	ENSG00000268387	ENSG00000197746	1	161192268	10	73581729	in-frame	exon2->exon8	CDS->CDS	FALSE	NA	NA	SV independent	NA	ENST00000594609.1:1-203	ENST00000394936.3:961-2867	ENST00000594609.1^1:161192268:+	ENST00000394936.3^10:73581729:-	LIRI-JP	Liver-HCC	83d57c5c-c622-11e3-bf01-24c6515278c0	DO45171
ACTB->FBF1	8fb86698-ddb8-11e4-ad8f-5ed8e2d07381	ACTB	ALB	ENSG00000075624	ENSG00000163631	7	5568954	4	74283271	out-of-frame	exon3->exon11	CDS->CDS	FALSE	NA	NA	SV independent	NA	ENST00000331789.5:1-393	ENST00000295897.4:1402-2264	ENST00000331789.5^7:5568954:-	ENST00000295897.4^4:74283271:+	LIRI-JP	Liver-HCC	6172ca02-c622-11e3-bf01-24c6515278c0	DO45137
ACTB->FBF1	8fb7e470-ddb8-11e4-ad8f-5ed8e2d07381	ACTB	ALB	ENSG00000075624	ENSG00000163631	7	5567117	4	74279257	NA	exon6->exon4	3UTR->CDS	FALSE	NA	NA	SV independent	NA	ENST00000331789.5:1-1582	ENST00000511370.1:497-1520	ENST00000331789.5^7:5567117:-	ENST00000511370.1^4:74279257:+	LIRI-JP	Liver-HCC	47d77750-c622-11e3-bf01-24c6515278c0	DO45119
ACTB->FBF1	8fb7b0cc-ddb8-11e4-ad8f-5ed8e2d07381	ACTB	ALB	ENSG00000075624	ENSG00000163631	7	5568952	4	74283273	out-of-frame	exon3->exon11	CDS->CDS	FALSE	NA	NA	SV independent	NA	ENST00000331789.5:1-395	ENST00000295897.4:1404-2264	ENST00000331789.5^7:5568952:-	ENST00000295897.4^4:74283273:+	LIRI-JP	Liver-HCC	3faeb03e-c622-11e3-bf01-24c6515278c0	DO45111
POLR2D->FGB	8fb731e2-ddb8-11e4-ad8f-5ed8e2d07381	RBP4	FGB	ENSG00000138207	ENSG00000171564	10	95351781	4	155488903	NA	exon6->exon4	3UTR->CDS	FALSE	NA	NA	SV independent	NA	ENST00000371467.1:1-977	ENST00000302068.4:712-1976	ENST00000371467.1^10:95351781:-	ENST00000302068.4^4:155488903:+	LIRI-JP	Liver-HCC	23eb72d8-c622-11e3-bf01-24c6515278c0	DO45094
