yourlist:M201909028471C63D39733769F8E060B506551E123F05953	Entry	Entry name	Status	Protein names	Gene names	Organism	Length		
RFPL1	O75677	RFPL1_HUMAN	reviewed	Ret finger protein-like 1 (RING finger protein 78)	RFPL1 RFPL1L RNF78	Homo sapiens (Human)	317	O75677	5988
SHANK3	Q9BYB0	SHAN3_HUMAN	reviewed	SH3 and multiple ankyrin repeat domains protein 3 (Shank3) (Proline-rich synapse-associated protein 2) (ProSAP2)	SHANK3 KIAA1650 PROSAP2 PSAP2	Homo sapiens (Human)	1731	Q9BYB0	85358
POM121	Q96HA1	P121A_HUMAN	reviewed	Nuclear envelope pore membrane protein POM 121 (Nuclear envelope pore membrane protein POM 121A) (Nucleoporin Nup121) (Pore membrane protein of 121 kDa)	POM121 KIAA0618 NUP121 POM121A	Homo sapiens (Human)	1249	Q96HA1	9883
ZNF626	Q68DY1	ZN626_HUMAN	reviewed	Zinc finger protein 626	ZNF626	Homo sapiens (Human)	528	Q68DY1	199777
KIAA1549	Q9HCM3	K1549_HUMAN	reviewed	UPF0606 protein KIAA1549	KIAA1549	Homo sapiens (Human)	1950	Q9HCM3	57670
ZNF285	Q96NJ3	ZN285_HUMAN	reviewed	Zinc finger protein 285 (Zinc finger protein 285A)	ZNF285 ZNF285A	Homo sapiens (Human)	590	Q96NJ3	26974
NUP210	Q8TEM1	PO210_HUMAN	reviewed	Nuclear pore membrane glycoprotein 210 (Nuclear pore protein gp210) (Nuclear envelope pore membrane protein POM 210) (POM210) (Nucleoporin Nup210) (Pore membrane protein of 210 kDa)	NUP210 KIAA0906 PSEC0245	Homo sapiens (Human)	1887	Q8TEM1	23225
HERC2	O95714	HERC2_HUMAN	reviewed	E3 ubiquitin-protein ligase HERC2 (EC 2.3.2.26) (HECT domain and RCC1-like domain-containing protein 2) (HECT-type E3 ubiquitin transferase HERC2)	HERC2	Homo sapiens (Human)	4834	O95714	8924
NUSAP1	Q9BXS6	NUSAP_HUMAN	reviewed	Nucleolar and spindle-associated protein 1 (NuSAP)	NUSAP1 ANKT BM-037 PRO0310	Homo sapiens (Human)	441	Q9BXS6	51203
IGKV1-5	P01602	KV105_HUMAN	reviewed	Immunoglobulin kappa variable 1-5 (Ig kappa chain V-I region CAR) (Ig kappa chain V-I region EU) (Ig kappa chain V-I region HK102) (Ig kappa chain V-I region Kue)	IGKV1-5	Homo sapiens (Human)	117	Q9BXW9	2177
FANCD2	Q9BXW9	FACD2_HUMAN	reviewed	Fanconi anemia group D2 protein (Protein FACD2)	FANCD2 FACD	Homo sapiens (Human)	1451	Q8N1N5	285464
CRIPAK	Q8N1N5	CRPAK_HUMAN	reviewed	Cysteine-rich PAK1 inhibitor (CRIPak)	CRIPAK	Homo sapiens (Human)	446	P54253	6310
ATXN1	P54253	ATX1_HUMAN	reviewed	Ataxin-1 (Spinocerebellar ataxia type 1 protein)	ATXN1 ATX1 SCA1	Homo sapiens (Human)	815	P60331	386677
KRTAP10-1	P60331	KR101_HUMAN	reviewed	Keratin-associated protein 10-1 (High sulfur keratin-associated protein 10.1) (Keratin-associated protein 10.1) (Keratin-associated protein 18-1) (Keratin-associated protein 18.1)	KRTAP10-1 KAP10.1 KAP18-1 KRTAP10.1 KRTAP18-1 KRTAP18.1	Homo sapiens (Human)	282	P21757	4481
MSR1	P21757	MSRE_HUMAN	reviewed	Macrophage scavenger receptor types I and II (Macrophage acetylated LDL receptor I and II) (Scavenger receptor class A member 1) (CD antigen CD204)	MSR1 SCARA1	Homo sapiens (Human)	451	Q9NV66	55253
TYW1	Q9NV66	TYW1_HUMAN	reviewed	S-adenosyl-L-methionine-dependent tRNA 4-demethylwyosine synthase TYW1 (EC 4.1.3.44) (Radical S-adenosyl methionine and flavodoxin domain-containing protein 1) (tRNA wybutosine-synthesizing protein 1 homolog) (tRNA-yW-synthesizing protein)	TYW1 RSAFD1	Homo sapiens (Human)	732	Q6NUM6	441250
TYW1B	Q6NUM6	TYW1B_HUMAN	reviewed	S-adenosyl-L-methionine-dependent tRNA 4-demethylwyosine synthase TYW1B (EC 4.1.3.44) (Radical S-adenosyl methionine and flavodoxin domain-containing protein 2) (tRNA wybutosine-synthesizing protein 1 homolog B)	TYW1B RSAFD2	Homo sapiens (Human)	668	O43306	112
ADCY6	O43306	ADCY6_HUMAN	reviewed	Adenylate cyclase type 6 (EC 4.6.1.1) (ATP pyrophosphate-lyase 6) (Adenylate cyclase type VI) (Adenylyl cyclase 6) (Ca(2+)-inhibitable adenylyl cyclase)	ADCY6 KIAA0422	Homo sapiens (Human)	1168	P59510	80070
ADAMTS20	P59510	ATS20_HUMAN	reviewed	A disintegrin and metalloproteinase with thrombospondin motifs 20 (ADAM-TS 20) (ADAM-TS20) (ADAMTS-20) (EC 3.4.24.-)	ADAMTS20	Homo sapiens (Human)	1910	Q15751	8925
HERC1	Q15751	HERC1_HUMAN	reviewed	Probable E3 ubiquitin-protein ligase HERC1 (EC 2.3.2.26) (HECT domain and RCC1-like domain-containing protein 1) (HECT-type E3 ubiquitin transferase HERC1) (p532) (p619)	HERC1	Homo sapiens (Human)	4861	O14715	727851
RGPD8	O14715	RGPD8_HUMAN	reviewed	RANBP2-like and GRIP domain-containing protein 8 (Ran-binding protein 2-like 3) (RanBP2-like 3) (RanBP2L3)	RGPD8 RANBP2ALPHA RANBP2L1 RANBP2L3	Homo sapiens (Human)	1765	Q96JH8	55698
RADIL	Q96JH8	RADIL_HUMAN	reviewed	Ras-associating and dilute domain-containing protein	RADIL KIAA1849	Homo sapiens (Human)	1075	Q08AG5	284391
ZNF844	Q08AG5	ZN844_HUMAN	reviewed	Zinc finger protein 844	ZNF844	Homo sapiens (Human)	666	P54317	5408
PNLIPRP2	P54317	LIPR2_HUMAN	reviewed	Pancreatic lipase-related protein 2 (PL-RP2) (EC 3.1.1.26) (EC 3.1.1.3) (Galactolipase)	PNLIPRP2 PLRP2	Homo sapiens (Human)	469	A8MZ36	645027
EVPLL	A8MZ36	EVPLL_HUMAN	reviewed	Envoplakin-like protein	EVPLL	Homo sapiens (Human)	301	Q5TGY3	27245
AHDC1	Q5TGY3	AHDC1_HUMAN	reviewed	AT-hook DNA-binding motif-containing protein 1	AHDC1	Homo sapiens (Human)	1603	O95425	6840
SVIL	O95425	SVIL_HUMAN	reviewed	Supervillin (Archvillin) (p205/p250)	SVIL	Homo sapiens (Human)	2214	O43422	5612
PRKRIR	O43422	P52K_HUMAN	reviewed	52 kDa repressor of the inhibitor of the protein kinase (p52rIPK) (58 kDa interferon-induced protein kinase-interacting protein) (p58IPK-interacting protein) (Death-associated protein 4) (THAP domain-containing protein 0) (THAP domain-containing protein 12)	THAP12 DAP4 P52RIPK PRKRIR THAP0	Homo sapiens (Human)	761	Q5SZK8	341640
FREM2	Q5SZK8	FREM2_HUMAN	reviewed	FRAS1-related extracellular matrix protein 2 (ECM3 homolog)	FREM2	Homo sapiens (Human)	3169	P43146	1630
DCC	P43146	DCC_HUMAN	reviewed	Netrin receptor DCC (Colorectal cancer suppressor) (Immunoglobulin superfamily DCC subclass member 1) (Tumor suppressor protein DCC)	DCC IGDCC1	Homo sapiens (Human)	1447	Q14151	9667
SAFB2	Q14151	SAFB2_HUMAN	reviewed	Scaffold attachment factor B2 (SAF-B2)	SAFB2 KIAA0138	Homo sapiens (Human)	953	Q6ZVH7	339768
KRTAP10-4	P60372	KR104_HUMAN	reviewed	Keratin-associated protein 10-4 (High sulfur keratin-associated protein 10.4) (Keratin-associated protein 10.4) (Keratin-associated protein 18-4) (Keratin-associated protein 18.4)	KRTAP10-4 KAP10.4 KAP18-4 KRTAP10.4 KRTAP18-4 KRTAP18.4	Homo sapiens (Human)	401	Q5JU00	202500
ESPNL	Q6ZVH7	ESPNL_HUMAN	reviewed	Espin-like protein	ESPNL	Homo sapiens (Human)	1005	Q9BYQ8	100132386
TCTE1	Q5JU00	DRC5_HUMAN	reviewed	Dynein regulatory complex subunit 5 (T-complex-associated testis-expressed protein 1) (Tcte-1)	TCTE1 DRC5	Homo sapiens (Human)	501	P30260	996
KRTAP4-9	Q9BYQ8	KRA49_HUMAN	reviewed	Keratin-associated protein 4-9 (Keratin-associated protein 4.9) (Ultrahigh sulfur keratin-associated protein 4.9)	KRTAP4-9 KAP4.9 KRTAP4.9	Homo sapiens (Human)	210	Q9BVA0	10300
CDC27	P30260	CDC27_HUMAN	reviewed	Cell division cycle protein 27 homolog (Anaphase-promoting complex subunit 3) (APC3) (CDC27 homolog) (CDC27Hs) (H-NUC)	CDC27 ANAPC3 D0S1430E D17S978E	Homo sapiens (Human)	824	O60293	196441
KATNB1	Q9BVA0	KTNB1_HUMAN	reviewed	Katanin p80 WD40 repeat-containing subunit B1 (Katanin p80 subunit B1) (p80 katanin)	KATNB1	Homo sapiens (Human)	655	Q96LD4	91107
ZFC3H1	O60293	ZC3H1_HUMAN	reviewed	Zinc finger C3H1 domain-containing protein (Coiled-coil domain-containing protein 131) (Proline/serine-rich coiled-coil protein 2)	ZFC3H1 CCDC131 KIAA0546 PSRC2	Homo sapiens (Human)	1989	Q12950	2298
TRIM47	Q96LD4	TRI47_HUMAN	reviewed	E3 ubiquitin-protein ligase TRIM47 (EC 2.3.2.27) (Gene overexpressed in astrocytoma protein) (RING finger protein 100) (Tripartite motif-containing protein 47)	TRIM47 GOA RNF100	Homo sapiens (Human)	638	P30536	706
FOXD4	Q12950	FOXD4_HUMAN	reviewed	Forkhead box protein D4 (Forkhead-related protein FKHL9) (Forkhead-related transcription factor 5) (FREAC-5) (Myeloid factor-alpha)	FOXD4 FKHL9 FOXD4A FREAC5	Homo sapiens (Human)	439	Q86V87	64760
TSPO	B1AH88	TSPOB_HUMAN	reviewed	Putative peripheral benzodiazepine receptor-related protein	TSPO PBRS	Homo sapiens (Human)	102	Q53EQ6	84948
TSPO	P30536	TSPO_HUMAN	reviewed	Translocator protein (Mitochondrial benzodiazepine receptor) (PKBS) (Peripheral-type benzodiazepine receptor) (PBR)	TSPO BZRP MBR	Homo sapiens (Human)	169	Q9BYQ5	81871
FAM160B2	Q86V87	F16B2_HUMAN	reviewed	Protein FAM160B2 (Retinoic acid-induced protein 16)	FAM160B2 RAI16 FP13191	Homo sapiens (Human)	743	O60393	135935
TIGD5	Q53EQ6	TIGD5_HUMAN	reviewed	Tigger transposable element-derived protein 5	TIGD5	Homo sapiens (Human)	642	Q96NS5	92591
KRTAP4-6	Q9BYQ5	KRA46_HUMAN	reviewed	Keratin-associated protein 4-6 (Keratin-associated protein 4-15) (Keratin-associated protein 4.15) (Keratin-associated protein 4.6) (Ultrahigh sulfur keratin-associated protein 4.15)	KRTAP4-6 KAP4.15 KRTAP4-15 KRTAP4.15 KRTAP4.6	Homo sapiens (Human)	205	Q9HC10	9381
NOBOX	O60393	NOBOX_HUMAN	reviewed	Homeobox protein NOBOX	NOBOX	Homo sapiens (Human)	691	Q6XPS3	93492
ASB16	Q96NS5	ASB16_HUMAN	reviewed	Ankyrin repeat and SOCS box protein 16 (ASB-16)	ASB16	Homo sapiens (Human)	453	Q9NQ79	55118
OTOF	Q9HC10	OTOF_HUMAN	reviewed	Otoferlin (Fer-1-like protein 2)	OTOF FER1L2	Homo sapiens (Human)	1997	O43602	1641
TPTE2	Q6XPS3	TPTE2_HUMAN	reviewed	"Phosphatidylinositol 3,4,5-trisphosphate 3-phosphatase TPTE2 (EC 3.1.3.67) (Lipid phosphatase TPIP) (TPTE and PTEN homologous inositol lipid phosphatase)"	TPTE2 TPIP	Homo sapiens (Human)	522	Q5VW22	414189
CRTAC1	Q9NQ79	CRAC1_HUMAN	reviewed	Cartilage acidic protein 1 (68 kDa chondrocyte-expressed protein) (CEP-68) (ASPIC)	CRTAC1 ASPIC1 CEP68	Homo sapiens (Human)	661	Q9NQ84	55890
DCX	O43602	DCX_HUMAN	reviewed	Neuronal migration protein doublecortin (Doublin) (Lissencephalin-X) (Lis-X)	DCX DBCN LISX	Homo sapiens (Human)	365	O14653	9570
FAM86JP	Q05BU3	F86JP_HUMAN	reviewed	Putative protein FAM86JP	FAM86JP	Homo sapiens (Human)	40	O15050	9881
AGAP6	Q5VW22	AGAP6_HUMAN	reviewed	"Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 6 (AGAP-6) (Centaurin-gamma-like family member 3)"	AGAP6 CTGLF3	Homo sapiens (Human)	663	Q8N0V4	55203
GPRC5C	Q9NQ84	GPC5C_HUMAN	reviewed	G-protein coupled receptor family C group 5 member C (Retinoic acid-induced gene 3 protein) (RAIG-3)	GPRC5C RAIG3 PSEC0087	Homo sapiens (Human)	441	O95180	8912
GOSR2	O14653	GOSR2_HUMAN	reviewed	Golgi SNAP receptor complex member 2 (27 kDa Golgi SNARE protein) (Membrin)	GOSR2 GS27	Homo sapiens (Human)	212	Q8N307	200958
PRSS3P2	Q8NHM4	TRY6_HUMAN	reviewed	Putative trypsin-6 (EC 3.4.21.4) (Serine protease 3 pseudogene 2) (Trypsinogen C)	PRSS3P2 T6 TRY6	Homo sapiens (Human)	247	Q99102	4585
TRANK1	O15050	TRNK1_HUMAN	reviewed	TPR and ankyrin repeat-containing protein 1 (Lupus brain antigen 1 homolog)	TRANK1 KIAA0342 LBA1	Homo sapiens (Human)	2925	P08238	3326
LGI2	Q8N0V4	LGI2_HUMAN	reviewed	Leucine-rich repeat LGI family member 2 (LGI1-like protein 2) (Leucine-rich glioma-inactivated protein 2)	LGI2 KIAA1916 LGIL2	Homo sapiens (Human)	545	Q5T2S8	55130
CACNA1H	O95180	CAC1H_HUMAN	reviewed	Voltage-dependent T-type calcium channel subunit alpha-1H (Low-voltage-activated calcium channel alpha1 3.2 subunit) (Voltage-gated calcium channel subunit alpha Cav3.2)	CACNA1H	Homo sapiens (Human)	2353	Q8NCM8	79659
IGLV3-12	A0A075B6K2	LV312_HUMAN	reviewed	Immunoglobulin lambda variable 3-12	IGLV3-12	Homo sapiens (Human)	115	Q75N90	84467
MUC20	Q8N307	MUC20_HUMAN	reviewed	Mucin-20 (MUC-20)	MUC20 KIAA1359 UNQ2782/PRO7170	Homo sapiens (Human)	709	O15083	26059
MUC4	Q99102	MUC4_HUMAN	reviewed	Mucin-4 (MUC-4) (Ascites sialoglycoprotein) (ASGP) (Pancreatic adenocarcinoma mucin) (Testis mucin) (Tracheobronchial mucin) [Cleaved into: Mucin-4 alpha chain (Ascites sialoglycoprotein 1) (ASGP-1); Mucin-4 beta chain (Ascites sialoglycoprotein 2) (ASGP-2)]	MUC4	Homo sapiens (Human)	2169	Q8TE73	1767
HSP90AB1	P08238	HS90B_HUMAN	reviewed	Heat shock protein HSP 90-beta (HSP 90) (Heat shock 84 kDa) (HSP 84) (HSP84)	HSP90AB1 HSP90B HSPC2 HSPCB	Homo sapiens (Human)	724	Q99418	9266
ARMC4	Q5T2S8	ARMC4_HUMAN	reviewed	Armadillo repeat-containing protein 4	ARMC4	Homo sapiens (Human)	1044	P57081	10785
DYNC2H1	Q8NCM8	DYHC2_HUMAN	reviewed	Cytoplasmic dynein 2 heavy chain 1 (Cytoplasmic dynein 2 heavy chain) (Dynein cytoplasmic heavy chain 2) (Dynein heavy chain 11) (hDHC11) (Dynein heavy chain isotype 1B)	DYNC2H1 DHC1B DHC2 DNCH2 DYH1B KIAA1997	Homo sapiens (Human)	4307	O14977	51582
FBN3	Q75N90	FBN3_HUMAN	reviewed	Fibrillin-3 [Cleaved into: Fibrillin-3 C-terminal peptide]	FBN3 KIAA1776	Homo sapiens (Human)	2809	P18206	7414
ERC2	O15083	ERC2_HUMAN	reviewed	ERC protein 2	ERC2 KIAA0378	Homo sapiens (Human)	957	Q8WWZ8	170392
DNAH5	Q8TE73	DYH5_HUMAN	reviewed	"Dynein heavy chain 5, axonemal (Axonemal beta dynein heavy chain 5) (Ciliary dynein heavy chain 5)"	DNAH5 DNAHC5 HL1 KIAA1603	Homo sapiens (Human)	4624	O95453	5073
CYTH2	Q99418	CYH2_HUMAN	reviewed	"Cytohesin-2 (ARF exchange factor) (ARF nucleotide-binding site opener) (Protein ARNO) (PH, SEC7 and coiled-coil domain-containing protein 2)"	CYTH2 ARNO PSCD2 PSCD2L	Homo sapiens (Human)	400	Q9UKJ3	23131
WDR4	P57081	WDR4_HUMAN	reviewed	tRNA (guanine-N(7)-)-methyltransferase non-catalytic subunit WDR4 (Protein Wuho homolog) (hWH) (WD repeat-containing protein 4)	WDR4	Homo sapiens (Human)	412	P04439	3105
AZIN1	O14977	AZIN1_HUMAN	reviewed	Antizyme inhibitor 1 (AZI) (AZI1) (Ornithine decarboxylase antizyme inhibitor)	AZIN1 OAZI OAZIN	Homo sapiens (Human)	448	P30443	3105
VCL	P18206	VINC_HUMAN	reviewed	Vinculin (Metavinculin) (MV)	VCL	Homo sapiens (Human)	1134	Q96S52	94005
OIT3	Q8WWZ8	OIT3_HUMAN	reviewed	Oncoprotein-induced transcript 3 protein (Liver-specific zona pellucida domain-containing protein)	OIT3 LZP UNQ826/PRO1753	Homo sapiens (Human)	545	Q9Y5H7	56143
PARN	O95453	PARN_HUMAN	reviewed	Poly(A)-specific ribonuclease PARN (EC 3.1.13.4) (Deadenylating nuclease) (Deadenylation nuclease) (Polyadenylate-specific ribonuclease)	PARN DAN	Homo sapiens (Human)	639	Q9BX40	149986
GPATCH8	Q9UKJ3	GPTC8_HUMAN	reviewed	G patch domain-containing protein 8	GPATCH8 GPATC8 KIAA0553	Homo sapiens (Human)	1502	Q99814	2034
HLA-A	P01891	1A68_HUMAN	reviewed	"HLA class I histocompatibility antigen, A-68 alpha chain (Aw-68) (HLA class I histocompatibility antigen, A-28 alpha chain) (MHC class I antigen A*68)"	HLA-A HLAA	Homo sapiens (Human)	365	Q8TEP8	55125
HLA-A	P01892	1A02_HUMAN	reviewed	"HLA class I histocompatibility antigen, A-2 alpha chain (Human leukocyte antigen A*02) (HLA-A*02)"	HLA-A HLAA	Homo sapiens (Human)	365	Q9Y223	10020
HLA-A	P04439	1A03_HUMAN	reviewed	"HLA class I histocompatibility antigen, A-3 alpha chain (Human leukocyte antigen A*03) (HLA-A*03)"	HLA-A HLAA	Homo sapiens (Human)	365	P35579	4627
HLA-A	P05534	1A24_HUMAN	reviewed	"HLA class I histocompatibility antigen, A-24 alpha chain (Aw-24) (HLA class I histocompatibility antigen, A-9 alpha chain) (MHC class I antigen A*24)"	HLA-A HLAA	Homo sapiens (Human)	365	Q49A17	442117
HLA-A	P10314	1A32_HUMAN	reviewed	"HLA class I histocompatibility antigen, A-32 alpha chain (MHC class I antigen A*32)"	HLA-A HLAA	Homo sapiens (Human)	365	Q9Y6V0	27445
HLA-A	P10316	1A69_HUMAN	reviewed	"HLA class I histocompatibility antigen, A-69 alpha chain (Aw-69) (HLA class I histocompatibility antigen, A-28 alpha chain) (MHC class I antigen A*69)"	HLA-A HLAA	Homo sapiens (Human)	365	Q6P996	102724985
HLA-A	P13746	1A11_HUMAN	reviewed	"HLA class I histocompatibility antigen, A-11 alpha chain (MHC class I antigen A*11)"	HLA-A HLAA	Homo sapiens (Human)	365	Q6P996	23042
HLA-A	P16188	1A30_HUMAN	reviewed	"HLA class I histocompatibility antigen, A-30 alpha chain (MHC class I antigen A*30)"	HLA-A HLAA	Homo sapiens (Human)	365	Q7Z5J4	10743
HLA-A	P16189	1A31_HUMAN	reviewed	"HLA class I histocompatibility antigen, A-31 alpha chain (MHC class I antigen A*31)"	HLA-A HLAA	Homo sapiens (Human)	365	Q6AWC2	80014
HLA-A	P16190	1A33_HUMAN	reviewed	"HLA class I histocompatibility antigen, A-33 alpha chain (Aw-19) (Aw-33) (MHC class I antigen A*33)"	HLA-A HLAA	Homo sapiens (Human)	365	O43345	7757
HLA-A	P18462	1A25_HUMAN	reviewed	"HLA class I histocompatibility antigen, A-25 alpha chain (HLA class I histocompatibility antigen, A-10 alpha chain) (MHC class I antigen A*25)"	HLA-A HLAA	Homo sapiens (Human)	365	Q5VWM6	400736
HLA-A	P30443	1A01_HUMAN	reviewed	"HLA class I histocompatibility antigen, A-1 alpha chain (Human leukocyte antigen A*01) (HLA-A*01)"	HLA-A HLAA	Homo sapiens (Human)	365	P21453	1901
HLA-A	P30447	1A23_HUMAN	reviewed	"HLA class I histocompatibility antigen, A-23 alpha chain (HLA class I histocompatibility antigen, A-9 alpha chain) (MHC class I antigen A*23)"	HLA-A HLAA	Homo sapiens (Human)	365	Q9P232	5067
HLA-A	P30450	1A26_HUMAN	reviewed	"HLA class I histocompatibility antigen, A-26 alpha chain (MHC class I antigen A*26)"	HLA-A HLAA	Homo sapiens (Human)	365	Q92985	3665
HLA-A	P30453	1A34_HUMAN	reviewed	"HLA class I histocompatibility antigen, A-34 alpha chain (Aw-34) (HLA class I histocompatibility antigen, A-10 alpha chain) (MHC class I antigen A*34)"	HLA-A HLAA	Homo sapiens (Human)	365	P04259	3854
HLA-A	P30455	1A36_HUMAN	reviewed	"HLA class I histocompatibility antigen, A-36 alpha chain (Aw-36) (MHC class I antigen A*36)"	HLA-A HLAA	Homo sapiens (Human)	365	Q86UP9	375612
HLA-A	P30456	1A43_HUMAN	reviewed	"HLA class I histocompatibility antigen, A-43 alpha chain (Aw-43) (MHC class I antigen A*43)"	HLA-A HLAA	Homo sapiens (Human)	365	Q8N5C8	257397
HLA-A	P30457	1A66_HUMAN	reviewed	"HLA class I histocompatibility antigen, A-66 alpha chain (Aw-66) (HLA class I histocompatibility antigen, A-10 alpha chain) (MHC class I antigen A*66)"	HLA-A HLAA	Homo sapiens (Human)	365	P56645	8863
HLA-A	P30459	1A74_HUMAN	reviewed	"HLA class I histocompatibility antigen, A-74 alpha chain (Aw-19) (Aw-74) (MHC class I antigen A*74)"	HLA-A HLAA	Homo sapiens (Human)	365	Q9NUD7	140680
HLA-A	P30512	1A29_HUMAN	reviewed	"HLA class I histocompatibility antigen, A-29 alpha chain (Aw-19) (MHC class I antigen A*29)"	HLA-A HLAA	Homo sapiens (Human)	365	Q6X9E4	285231
HLA-A	Q09160	1A80_HUMAN	reviewed	"HLA class I histocompatibility antigen, A-80 alpha chain (Aw-80) (HLA class I histocompatibility antigen, A-1 alpha chain) (MHC class I antigen A*80)"	HLA-A HLAA	Homo sapiens (Human)	365	O60443	1687
PIGS	Q96S52	PIGS_HUMAN	reviewed	GPI transamidase component PIG-S (Phosphatidylinositol-glycan biosynthesis class S protein)	PIGS UNQ1873/PRO4316	Homo sapiens (Human)	555	Q9H227	57733
PCDHA5	Q9Y5H7	PCDA5_HUMAN	reviewed	Protocadherin alpha-5 (PCDH-alpha-5)	PCDHA5 CNRS6	Homo sapiens (Human)	936	Q5PT55	347051
LSM14B	Q9BX40	LS14B_HUMAN	reviewed	Protein LSM14 homolog B (Protein FAM61B) (RNA-associated protein 55B) (hRAP55B)	LSM14B C20orf40 FAM61B RAP55B	Homo sapiens (Human)	385	Q9UBD3	6846
EPAS1	Q99814	EPAS1_HUMAN	reviewed	Endothelial PAS domain-containing protein 1 (EPAS-1) (Basic-helix-loop-helix-PAS protein MOP2) (Class E basic helix-loop-helix protein 73) (bHLHe73) (HIF-1-alpha-like factor) (HLF) (Hypoxia-inducible factor 2-alpha) (HIF-2-alpha) (HIF2-alpha) (Member of PAS protein 2) (PAS domain-containing protein 2)	EPAS1 BHLHE73 HIF2A MOP2 PASD2	Homo sapiens (Human)	870	P18054	239
CEP192	Q8TEP8	CE192_HUMAN	reviewed	Centrosomal protein of 192 kDa (Cep192) (Cep192/SPD-2)	CEP192 KIAA1569 PP8407	Homo sapiens (Human)	2537	O75152	9877
GNE	Q9Y223	GLCNE_HUMAN	reviewed	Bifunctional UDP-N-acetylglucosamine 2-epimerase/N-acetylmannosamine kinase (UDP-GlcNAc-2-epimerase/ManAc kinase) [Includes: UDP-N-acetylglucosamine 2-epimerase (hydrolyzing) (EC 3.2.1.183) (UDP-GlcNAc-2-epimerase) (Uridine diphosphate-N-acetylglucosamine-2-epimerase); N-acetylmannosamine kinase (EC 2.7.1.60) (ManAc kinase)]	GNE GLCNE	Homo sapiens (Human)	722	O00268	6874
MYH9	P35579	MYH9_HUMAN	reviewed	"Myosin-9 (Cellular myosin heavy chain, type A) (Myosin heavy chain 9) (Myosin heavy chain, non-muscle IIa) (Non-muscle myosin heavy chain A) (NMMHC-A) (Non-muscle myosin heavy chain IIa) (NMMHC II-a) (NMMHC-IIA)"	MYH9	Homo sapiens (Human)	1960	Q7Z2X4	55022
GALNTL6	Q49A17	GLTL6_HUMAN	reviewed	Polypeptide N-acetylgalactosaminyltransferase-like 6 (EC 2.4.1.41) (Polypeptide GalNAc transferase 17) (GalNAc-T17) (pp-GaNTase 17) (Protein-UDP acetylgalactosaminyltransferase 17) (Putative polypeptide N-acetylgalactosaminyltransferase 17) (UDP-GalNAc:polypeptide N-acetylgalactosaminyltransferase 17)	GALNTL6 GALNT17	Homo sapiens (Human)	601	Q6ZMI0	129285
